PLoS_One_ID	AGI	group	Publications
At_F0125	AT3G18910	1	3
At_F0158	AT3G18980	1	2
At_F0168	AT3G42770	1	2
At_F0220	AT5G42350	1	3
At_F0234	AT4G24210	1	14
At_F0267	AT1G30950	1	14
At_F0269	AT1G80110	1	9
At_F0297	AT5G48170	1	11
At_F0313	AT1G27340	1	12
At_F0354	AT2G44130	1	10
At_F0397	AT4G12560	1	17
At_F0416	AT2G25490	1	27
At_F0430	AT4G19330	1	8
At_F0442	AT5G25350	1	22
At_F0445	AT1G55270	1	4
At_F0467	AT3G59940	1	12
At_F0474	AT5G57360	1	82
At_F0500	AT1G23390	1	10
At_F0505	AT4G08980	1	10
At_F0508	AT1G21410	1	9
At_F0516	AT1G77000	1	15
At_F0538	AT3G48880	1	1
At_F0542	AT2G18915	1	29
At_F0549	AT4G12810	1	3
At_F0563	AT3G54650	1	15
At_F0564	AT1G80440	1	13
At_F0570	AT4G03190	1	21
At_F0585	AT1G68050	1	57
At_F0586	AT3G62980	1	189
At_F0626	AT3G26810	1	43
At_F0628	AT1G12820	1	31
At_F0641	AT3G26000	1	5
At_F0646	AT1G56250	1	8
At_F0656	AT1G15670	1	7
At_F0662	AT5G49980	1	9
At_F0665	AT5G01720	1	8
At_F0669	AT4G24390	1	11
At_F0674	AT1G61340	1	13
At_F0676	AT2G42620	1	80
At_F0705	AT2G39940	1	266
At_F0707	AT1G65740	1	4
At_F0001	AT1G21760	2	8
At_F0016	AT3G61590	2	12
At_F0039	AT3G07870	2	3
At_F0057	AT3G17320	2	3
At_F0086	AT3G16740	2	4
At_F0127	AT2G17310	2	2
At_F0191	AT1G55660	2	4
At_F0210	AT3G47020	2	1
At_F0211	AT5G45360	2	4
At_F0214	AT4G05460	2	8
At_F0221	AT5G42360	2	3
At_F0225	AT3G50080	2	8
At_F0247	AT2G31470	2	4
At_F0276	AT2G02360	2	6
At_F0302	AT4G07400	2	6
At_F0304	AT5G67250	2	9
At_F0308	AT1G60370	2	2
At_F0318	AT4G33210	2	5
At_F0323	AT5G56180	2	6
At_F0338	AT3G60350	2	10
At_F0380	AT5G22720	2	1
At_F0418	AT5G21040	2	8
At_F0421	AT3G06380	2	7
At_F0443	AT1G47056	2	5
At_F0451	AT2G44900	2	10
At_F0459	AT3G22650	2	3
At_F0471	AT4G15060	2	1
At_F0515	AT3G44326	2	1
At_F0519	AT2G16365	2	7
At_F0529	AT4G15475	2	5
At_F0565	AT3G62440	2	1
At_F0569	AT4G02440	2	15
At_F0578	AT1G22220	2	4
At_F0583	AT1G78100	2	5
At_F0589	AT2G47900	2	13
At_F0610	AT2G17690	2	11
At_F0671	AT1G65770	2	5
At_F0679	AT3G27150	2	4
At_F0684	AT2G18280	2	16
At_F0695	AT3G20270	2	4
At_F0700	AT5G15440	2	2
At_F0002	AT3G17280	3	1
At_F0003	AT4G39590	3	4
At_F0004	AT2G14710	3	1
At_F0005	AT2G04920	3	3
At_F0006	AT3G22720	3	1
At_F0007	AT2G27520	3	1
At_F0008	AT3G22700	3	3
At_F0009	AT3G16210	3	1
At_F0010	AT3G49520	3	1
At_F0011	AT5G42460	3	1
At_F0012	AT3G21170	3	4
At_F0013	AT2G17830	3	2
At_F0014	AT1G51320	3	3
At_F0017	AT1G76830	3	1
At_F0018	AT3G20710	3	3
At_F0019	AT5G36200	3	1
At_F0020	AT3G46050	3	2
At_F0022	AT1G15680	3	2
At_F0023	AT3G22350	3	1
At_F0024	AT4G38940	3	4
At_F0026	AT1G33020	3	1
At_F0027	AT4G39560	3	3
At_F0028	AT5G41510	3	2
At_F0029	AT4G39240	3	3
At_F0030	AT4G39570	3	3
At_F0031	AT5G41500	3	1
At_F0032	AT3G20690	3	1
At_F0033	AT4G19870	3	3
At_F0034	AT1G51290	3	5
At_F0035	AT5G47300	3	1
At_F0037	AT2G22030	3	2
At_F0040	AT4G29370	3	1
At_F0041	AT3G21120	3	1
At_F0043	AT3G17540	3	1
At_F0044	AT2G22050	3	4
At_F0045	AT1G50880	3	1
At_F0048	AT2G07140	3	2
At_F0049	AT1G47730	3	4
At_F0050	AT3G56780	3	1
At_F0051	AT3G19410	3	1
At_F0052	AT5G02910	3	2
At_F0053	AT1G47390	3	1
At_F0054	AT3G17400	3	1
At_F0056	AT4G11770	3	2
At_F0058	AT5G22700	3	3
At_F0059	AT1G52490	3	1
At_F0060	AT1G54550	3	1
At_F0061	AT2G38590	3	2
At_F0062	AT3G10430	3	1
At_F0064	AT3G23880	3	7
At_F0065	AT5G56420	3	1
At_F0066	AT1G47790	3	1
At_F0068	AT5G43190	3	8
At_F0069	AT3G22730	3	1
At_F0070	AT5G48980	3	2
At_F0071	AT1G61540	3	1
At_F0072	AT3G49510	3	2
At_F0073	AT3G16580	3	3
At_F0074	AT3G49980	3	2
At_F0075	AT1G50980	3	2
At_F0076	AT2G02250	3	8
At_F0079	AT1G77880	3	2
At_F0080	AT5G62510	3	1
At_F0081	AT2G04230	3	2
At_F0082	AT3G13820	3	3
At_F0083	AT4G10190	3	1
At_F0084	AT3G44130	3	1
At_F0087	AT3G24700	3	1
At_F0088	AT4G39290	3	2
At_F0091	AT3G23260	3	2
At_F0092	AT4G05490	3	3
At_F0093	AT1G65990	3	6
At_F0094	AT5G38386	3	1
At_F0095	AT2G02340	3	3
At_F0096	AT5G44220	3	1
At_F0097	AT1G80960	3	3
At_F0099	AT5G02980	3	1
At_F0100	AT5G51250	3	1
At_F0102	AT5G49610	3	3
At_F0103	AT1G13200	3	2
At_F0104	AT4G22170	3	2
At_F0105	AT1G47915	3	1
At_F0106	AT2G19630	3	1
At_F0108	AT5G52880	3	1
At_F0109	AT3G17710	3	3
At_F0110	AT3G21410	3	3
At_F0111	AT3G16880	3	2
At_F0112	AT1G66490	3	1
At_F0113	AT2G02320	3	4
At_F0114	AT5G56370	3	2
At_F0115	AT1G76920	3	7
At_F0116	AT2G44700	3	3
At_F0118	AT5G38670	3	1
At_F0120	AT3G49030	3	1
At_F0121	AT1G60570	3	4
At_F0122	AT1G69630	3	2
At_F0123	AT3G57580	3	3
At_F0124	AT4G10740	3	1
At_F0126	AT3G22870	3	1
At_F0128	AT3G43710	3	1
At_F0131	AT1G30920	3	3
At_F0132	AT4G39550	3	3
At_F0133	AT4G00315	3	1
At_F0134	AT2G18780	3	1
At_F0135	AT4G23580	3	2
At_F0136	AT2G43260	3	3
At_F0137	AT3G17490	3	1
At_F0138	AT3G49450	3	4
At_F0139	AT4G33290	3	2
At_F0140	AT3G17560	3	1
At_F0141	AT4G02310	3	2
At_F0143	AT2G41360	3	3
At_F0145	AT3G08750	3	2
At_F0146	AT4G19865	3	1
At_F0147	AT4G19940	3	2
At_F0148	AT5G53840	3	4
At_F0149	AT1G32420	3	2
At_F0150	AT3G16555	3	1
At_F0151	AT3G24580	3	1
At_F0152	AT5G48990	3	2
At_F0153	AT1G22040	3	5
At_F0155	AT2G44630	3	3
At_F0156	AT3G20030	3	1
At_F0157	AT4G17565	3	2
At_F0159	AT1G53790	3	1
At_F0160	AT1G70380	3	1
At_F0161	AT2G02240	3	2
At_F0162	AT4G39600	3	1
At_F0163	AT5G39560	3	1
At_F0165	AT5G62660	3	3
At_F0167	AT1G70390	3	1
At_F0170	AT4G11750	3	3
At_F0172	AT1G11270	3	3
At_F0173	AT1G46840	3	1
At_F0174	AT3G21130	3	1
At_F0175	AT1G12870	3	1
At_F0177	AT5G51000	3	1
At_F0179	AT5G56810	3	1
At_F0180	AT4G33900	3	2
At_F0181	AT5G15620	3	1
At_F0182	AT5G26960	3	2
At_F0183	AT5G49000	3	4
At_F0186	AT3G52320	3	1
At_F0187	AT3G58900	3	3
At_F0188	AT4G09190	3	1
At_F0189	AT5G03000	3	2
At_F0190	AT5G15710	3	2
At_F0192	AT4G38870	3	2
At_F0193	AT5G28180	3	1
At_F0194	AT3G06240	3	3
At_F0195	AT3G13680	3	2
At_F0196	AT3G25460	3	1
At_F0198	AT1G58090	3	2
At_F0199	AT2G05970	3	1
At_F0201	AT3G59610	3	4
At_F0202	AT5G39450	3	2
At_F0203	AT2G20380	3	2
At_F0205	AT3G06570	3	4
At_F0206	AT3G16590	3	2
At_F0207	AT4G33160	3	4
At_F0208	AT5G02920	3	3
At_F0209	AT1G09650	3	4
At_F0213	AT2G29830	3	2
At_F0215	AT5G25860	3	1
At_F0216	AT5G18160	3	2
At_F0217	AT2G02310	3	7
At_F0218	AT4G14103	3	1
At_F0219	AT2G16450	3	2
At_F0222	AT1G32660	3	1
At_F0223	AT3G58980	3	1
At_F0224	AT2G42720	3	2
At_F0227	AT4G39580	3	1
At_F0228	AT2G26850	3	5
At_F0230	AT3G24760	3	2
At_F0231	AT3G50710	3	1
At_F0232	AT4G25710	3	3
At_F0233	AT3G18340	3	2
At_F0235	AT1G55070	3	2
At_F0236	AT1G78750	3	1
At_F0237	AT1G60400	3	2
At_F0238	AT1G78760	3	1
At_F0239	AT1G67390	3	3
At_F0240	AT3G58820	3	1
At_F0241	AT3G08810	3	3
At_F0242	AT2G16810	3	3
At_F0244	AT3G19560	3	1
At_F0248	AT5G25290	3	2
At_F0249	AT1G59680	3	1
At_F0250	AT5G15660	3	1
At_F0251	AT2G16220	3	1
At_F0253	AT3G47030	3	3
At_F0254	AT5G07610	3	2
At_F0255	AT5G22660	3	1
At_F0257	AT4G26340	3	1
At_F0258	AT1G19160	3	1
At_F0260	AT1G19070	3	2
At_F0261	AT1G30790	3	1
At_F0263	AT3G17570	3	1
At_F0264	AT3G52030	3	7
At_F0265	AT3G58920	3	1
At_F0266	AT4G22660	3	2
At_F0268	AT1G31080	3	2
At_F0270	AT2G26860	3	2
