	agi	group	Publications	EST	cDNA	Intron	Total_TDNA	TDNA_100upstream	TDNA_First_half_intron	TDNA_First_half_exon	TDNA_Last_half_intron	TDNA_Last_half_exon	kaks	ks	neutral	cdms_rate	fbxd_evalue	fbxd_str	fbxd_end	length	Kelch	FBA	LRR	FBD	fbx_exp_mean	fbx_exp_median	fbx_exp_max	fbx_exp_cv
At_F0589	AT2G47900	2	13	55	5	4	10	0	1	9	0	0	0.0829	0.4918	0	0.245098039	9.80E-08	49	99	408	0	0	0	0	36.2535579	37.1	373.7	0.379492905
At_F0505	AT4G08980	1	10	127	6	1	6	0	2	1	0	3	0.2208	0.5015	0	0.314465409	4.10E-06	17	56	318	0	0	1	0	39.61008571	39.8	332.5	0.384037223
At_F0626	AT3G26810	1	43	99	3	2	2	1	0	0	0	1	0.0651	0.5043	0	0.520833333	9.50E-05	5	37	576	0	0	1	0	33.20440502	34	326	0.388107176
At_F0416	AT2G25490	1	27	218	5	1	5	0	1	0	0	4	0.8936	0.044	1	0.476947536	1.50E-07	63	103	629	0	0	3	0	52.67533885	51.6	411.9	0.402330289
At_F0628	AT1G12820	1	31	76	3	2	4	0	0	0	1	3	0.09	0.389	0	0.519031142	6.70E-05	5	36	578	0	0	1	0	34.81276161	36.8	492.3	0.407164555
At_F0662	AT5G49980	1	9	399	5	2	9	2	1	2	1	3	0.1293	0.4206	0	0.322580645	0.0008	56	85	620	0	0	0	0	42.04622284	44.5	475.7	0.409753878
At_F0474	AT5G57360	1	82	55	7	2	15	0	0	7	1	7	0.1134	0.509	0	1.116427432	9.40E-08	199	246	627	6	0	0	0	32.87338051	33.5	202.4	0.42152143
At_F0029	AT4G39240	3	3	62	5	0	5	1	0	4	0	0	0.55	0.2709	0	0.79787234	4.50E-08	30	78	376	3	0	0	0	29.50691648	30.4	505.8	0.423395899
At_F0569	AT4G02440	2	15	70	5	0	5	1	0	2	0	2	0.204	0.5161	0	0	5.60E-08	4	46	337	0	0	0	0	32.90863564	31.7	242.9	0.431899398
At_F0418	AT5G21040	2	8	72	2	0	16	4	0	1	0	11	0.2183	0.4766	0	0.740740741	1.00E-05	66	116	540	0	0	0	0	26.02625573	26.8	394.7	0.43272624
At_F0466	AT1G30090	3	4	49	3	0	11	0	0	7	0	4	0.1162	0.773	0	1.002506266	2.00E-08	52	97	399	4	0	0	0	23.24554515	23.8	217.2	0.435923582
At_F0705	AT2G39940	1	266	34	3	2	13	0	3	5	0	5	0.1502	0.6224	0	0.337268128	0.031	18	47	593	0	0	0	0	27.97593183	29	509.6	0.436323852
At_F0616	AT1G30200	3	1	36	7	0	13	6	0	4	0	3	0.1271	0.845	0	0	5.40E-08	21	73	380	0	0	0	0	35.05193343	35.4	523.2	0.438044079
At_F0318	AT4G33210	2	5	25	1	16	22	1	5	7	2	7	0.2552	0.4236	0	0.403632694	2.50E-06	198	237	991	0	0	4	0	29.01231812	30.5	201.5	0.440979637
At_F0485	AT1G76900	3	11	59	6	3	6	0	0	1	0	5	0.1226	0.6081	0	0.438596491	4.10E-09	55	101	456	0	0	0	0	28.12803967	28.1	441.2	0.445332959
At_F0586	AT3G62980	1	189	164	4	2	11	1	6	1	2	1	0.1429	0.4928	0	0.504201681	3.50E-05	10	42	595	0	0	1	0	49.49164341	51.7	614.8	0.445494822
At_F0575	AT5G60570	3	2	24	2	0	6	1	0	0	0	5	0.1095	0.5807	0	0.507614213	0.0043	53	86	394	2	0	0	0	39.15910903	39.5	602.9	0.450168183
At_F0429	AT2G17020	3	4	34	5	3	5	1	0	1	0	3	0.2563	0.5234	0	0	4.90E-05	20	63	657	0	0	0	0	19.4824995	20.4	336.4	0.455806397
At_F0641	AT3G26000	1	5	45	4	1	5	0	0	5	0	0	0.3651	0.5351	0	0	0.00015	211	242	454	0	0	0	0	29.24937712	28.6	374.4	0.461160695
At_F0153	AT1G22040	3	5	26	3	0	3	1	0	2	0	0	0.17	0.6015	0	1.050420168	4.30E-09	40	85	476	4	0	0	0	16.49924258	16.45	281.3	0.467526148
At_F0338	AT3G60350	2	10	39	0	8	9	0	0	6	0	3	0.1941	0.2762	0	0.861141012	4.00E-06	40	86	929	0	0	0	0	18.51259219	19.9	215	0.469292529
At_F0362	AT3G54480	3	4	60	7	4	20	4	2	3	6	5	0.1867	0.4823	0	0	2.70E-08	42	80	275	0	0	0	0	38.8286476	39.3	784.4	0.470355648
At_F0421	AT3G06380	2	7	41	7	4	8	0	1	4	0	3	0.2088	0.417	0	0.262467192	4.00E-10	32	80	381	0	0	0	0	36.09081622	35.3	335.5	0.477783859
At_F0158	AT3G18980	1	2	44	8	0	32	2	0	26	0	4	0.7534	0.2965	1	0.721153846	4.60E-12	2	49	416	0	1	0	0	25.38446781	25.6	249.3	0.480259403
At_F0553	AT4G03030	3	2	0	0	0	1	0	0	1	0	0	0.1776	0.6554	0	0.677200903	1.20E-05	34	87	443	3	0	0	0	38.47425752	36.3	499.5	0.491966741
At_F0313	AT1G27340	1	12	65	4	1	15	0	2	3	0	10	0.2113	0.4375	0	0	2.00E-07	117	158	468	0	0	0	0	32.66603548	34.2	960.6	0.492677644
At_F0283	AT1G23780	3	6	59	4	0	4	1	0	3	0	0	0.3351	0.3249	0	0	7.20E-06	320	367	476	0	0	0	0	29.99314331	30.7	288.7	0.492983711
At_F0221	AT5G42360	2	3	23	3	0	8	0	0	6	0	2	0.1459	0.1366	0	0.531914894	7.00E-08	135	171	564	2	0	0	0	13.97791011	14.1	236.9	0.49711316
At_F0581	AT4G02740	3	3	37	1	11	10	0	0	4	2	4	0.5569	0.2703	0	0	1.30E-05	134	177	517	0	0	0	0	22.11022025	22.7	433	0.497542066
At_F0136	AT2G43260	3	3	18	4	1	3	3	0	0	0	0	0.6334	0.1318	1	0.230414747	3.10E-11	23	68	434	0	1	0	0	13.32469603	13.7	101.2	0.497668767
