PLoS_One_ID	AGI	length	DM
At_F0001	AT1G21760.1	329	F-box-like|5.6e-11|60-105
At_F0001	AT1G21760.1	329	AO_FBX|8.4e-14|61-107
At_F0002	AT3G17280.1	387	AO_FBX|9.4e-12|2-46
At_F0002	AT3G17280.1	387	F-box|5e-11|3-47
At_F0002	AT3G17280.1	387	FBA_1|2.3e-39|197-373
At_F0003	AT4G39590.1	403	AO_FBX|6.1e-10|35-83
At_F0003	AT4G39590.1	403	F-box|1.7e-10|37-81
At_F0003	AT4G39590.1	403	Kelch_1|1.1e-05|138-185
At_F0003	AT4G39590.1	403	Kelch_1|9.6e-09|188-226
At_F0003	AT4G39590.1	403	Rad4|0.039|205-230
At_F0004	AT2G14710.1	363	F-box|4.2e-11|4-41
At_F0004	AT2G14710.1	363	AO_FBX|2.6e-13|5-48
At_F0004	AT2G14710.1	363	TetR_C_37|0.61|29-52
At_F0004	AT2G14710.1	363	FBA_1|5e-36|179-344
At_F0005	AT2G04920.1	377	AO_FBX|2.9e-13|1-46
At_F0005	AT2G04920.1	377	F-box|4.5e-11|2-44
At_F0005	AT2G04920.1	377	FBA_1|5.1e-46|201-357
At_F0006	AT3G22720.1	380	AO_FBX|4.3e-14|2-47
At_F0006	AT3G22720.1	380	F-box|2.4e-11|3-45
At_F0006	AT3G22720.1	380	FBA_1|1.4e-37|208-374
At_F0007	AT2G27520.1	348	F-box|5.3e-10|4-45
At_F0007	AT2G27520.1	348	AO_FBX|7.7e-13|5-47
At_F0007	AT2G27520.1	348	FBA_1|8.5e-41|182-339
At_F0008	AT3G22700.1	340	AO_FBX|7.9e-14|2-47
At_F0008	AT3G22700.1	340	F-box|1.9e-11|3-46
At_F0008	AT3G22700.1	340	FBA_1|1.3e-30|204-318
At_F0009	AT3G16210.1	361	AO_FBX|2.7e-15|5-46
At_F0009	AT3G16210.1	361	F-box|7.5e-10|5-41
At_F0009	AT3G16210.1	361	FBA_1|7.9e-11|189-306
At_F0010	AT3G49520.1	389	AO_FBX|3.7e-09|2-40
At_F0010	AT3G49520.1	389	F-box|6.5e-11|3-47
At_F0010	AT3G49520.1	389	Kelch_3|0.12|161-187
At_F0010	AT3G49520.1	389	FBA_1|1.7e-52|195-382
At_F0010	AT3G49520.1	389	DUF3045|0.57|355-386
At_F0011	AT5G42460.1	389	AO_FBX|3.1e-13|4-46
At_F0011	AT5G42460.1	389	F-box|3.8e-11|4-48
At_F0011	AT5G42460.1	389	FBA_1|6.3e-58|210-380
At_F0012	AT3G21170.1	396	AO_FBX|1.1e-12|2-49
At_F0012	AT3G21170.1	396	F-box|2.4e-10|2-48
At_F0012	AT3G21170.1	396	FBA_1|7.5e-27|222-387
At_F0013	AT2G17830.1	395	AO_FBX|2e-12|4-46
At_F0013	AT2G17830.1	395	F-box|7.6e-10|4-48
At_F0013	AT2G17830.1	395	FBA_1|6.1e-57|214-386
At_F0014	AT1G51320.1	376	AO_FBX|2.8e-11|5-46
At_F0014	AT1G51320.1	376	F-box|2.2e-10|5-43
At_F0014	AT1G51320.1	376	FBA_1|1.4e-35|190-362
At_F0015	AT2G41473.1	92	AO_FBX|7.2e-13|3-45
At_F0015	AT2G41473.1	92	F-box|1.1e-09|6-40
At_F0016	AT3G61590.4	448	AO_FBX|1.3e-13|77-121
At_F0016	AT3G61590.4	448	F-box|3.5e-10|77-120
At_F0016	AT3G61590.4	448	Kelch_2|0.0014|330-374
At_F0017	AT1G76830.1	374	AO_FBX|3.7e-07|5-51
At_F0017	AT1G76830.1	374	F-box|4e-10|6-48
At_F0017	AT1G76830.1	374	FBA_3|3.5e-16|198-323
At_F0018	AT3G20710.1	363	AO_FBX|8.9e-11|2-44
At_F0018	AT3G20710.1	363	F-box|1.9e-10|3-42
At_F0018	AT3G20710.1	363	DUF4116|0.1|165-210
At_F0018	AT3G20710.1	363	FBA_1|1.5e-47|197-361
At_F0019	AT5G36200.1	472	AO_FBX|2e-11|3-46
At_F0019	AT5G36200.1	472	F-box|6.2e-10|3-46
At_F0019	AT5G36200.1	472	FBA_1|1.8e-60|215-384
At_F0019	AT5G36200.1	472	PPO1_DWL|0.23|329-350
At_F0020	AT3G46050.1	371	AO_FBX|2.8e-10|15-63
At_F0020	AT3G46050.1	371	F-box|9.7e-11|17-61
At_F0020	AT3G46050.1	371	Kelch_1|2.5e-08|111-152
At_F0020	AT3G46050.1	371	Kelch_1|1.1e-13|154-195
At_F0021	AT3G16820.1	314	F-box|2.1e-10|3-46
At_F0021	AT3G16820.1	314	AO_FBX|3e-10|3-46
At_F0021	AT3G16820.1	314	FBA_1|7.8e-57|139-309
At_F0022	AT1G15680.1	411	AO_FBX|5.5e-11|13-58
At_F0022	AT1G15680.1	411	F-box|7.8e-10|18-56
At_F0023	AT3G22350.1	379	AO_FBX|7.4e-12|1-46
At_F0023	AT3G22350.1	379	F-box|1.2e-09|2-44
At_F0023	AT3G22350.1	379	Utp13|0.19|8-47
At_F0023	AT3G22350.1	379	FBA_1|1.1e-38|204-373
At_F0023	AT3G22350.1	379	SpvD|0.021|255-339
At_F0024	AT4G38940.1	371	AO_FBX|1.3e-10|17-66
At_F0024	AT4G38940.1	371	F-box|4.6e-08|21-64
At_F0024	AT4G38940.1	371	cIII|0.034|39-55
At_F0024	AT4G38940.1	371	Kelch_6|1.1e-05|120-166
At_F0024	AT4G38940.1	371	Kelch_2|0.00037|175-211
At_F0024	AT4G38940.1	371	DUF5050|0.38|224-279
At_F0025	AT1G46984.1	371	AO_FBX|9.4e-12|16-63
At_F0025	AT1G46984.1	371	F-box|2.9e-09|21-61
At_F0025	AT1G46984.1	371	FBA_3|3e-28|219-325
At_F0026	AT1G33020.1	549	AO_FBX|7.1e-12|7-51
At_F0026	AT1G33020.1	549	F-box|1.4e-09|7-47
At_F0026	AT1G33020.1	549	FBA_3|2.5e-34|209-330
At_F0027	AT4G39560.1	267	AO_FBX|2.4e-10|25-72
At_F0027	AT4G39560.1	267	F-box|2.3e-08|27-71
At_F0027	AT4G39560.1	267	Kelch_1|2.3e-06|120-162
At_F0027	AT4G39560.1	267	Kelch_1|3.3e-13|166-206
At_F0028	AT5G41510.1	401	AO_FBX|9.2e-11|4-46
At_F0028	AT5G41510.1	401	F-box|2.1e-10|5-45
At_F0028	AT5G41510.1	401	Glyco_transf_24|0.46|5-49
At_F0028	AT5G41510.1	401	FBA_1|2e-44|207-364
At_F0029	AT4G39240.1	376	AO_FBX|4.5e-08|30-78
At_F0029	AT4G39240.1	376	F-box|3.6e-08|34-78
At_F0029	AT4G39240.1	376	Kelch_1|1.3e-06|132-172
At_F0029	AT4G39240.1	376	Kelch_1|3.3e-12|175-214
At_F0029	AT4G39240.1	376	Kelch_6|5.8e-05|265-298
At_F0030	AT4G39570.1	396	AO_FBX|5.7e-11|29-77
At_F0030	AT4G39570.1	396	F-box|1.5e-08|31-76
At_F0030	AT4G39570.1	396	Kelch_1|8.7e-05|143-183
At_F0030	AT4G39570.1	396	Kelch_1|9e-08|187-226
At_F0030	AT4G39570.1	396	DUF4905|0.62|260-295
At_F0031	AT5G41500.1	404	AO_FBX|6.2e-11|3-48
At_F0031	AT5G41500.1	404	F-box|3e-10|4-45
At_F0031	AT5G41500.1	404	FBA_1|2.4e-46|208-365
At_F0032	AT3G20690.1	371	AO_FBX|4.8e-12|2-46
At_F0032	AT3G20690.1	371	F-box|5.6e-10|3-46
At_F0032	AT3G20690.1	371	FBA_1|1.2e-48|204-367
At_F0033	AT4G19870.1	401	AO_FBX|3.6e-09|27-75
At_F0033	AT4G19870.1	401	F-box|9.9e-09|28-70
At_F0033	AT4G19870.1	401	Kelch_1|2.4e-09|139-178
At_F0033	AT4G19870.1	401	Kelch_1|4.6e-10|182-226
At_F0034	AT1G51290.1	378	AO_FBX|2.5e-11|5-47
At_F0034	AT1G51290.1	378	F-box|1.1e-09|5-43
At_F0034	AT1G51290.1	378	FBA_1|1.4e-34|188-360
At_F0035	AT5G47300.1	417	AO_FBX|2.3e-11|42-88
At_F0035	AT5G47300.1	417	F-box|9.1e-10|43-85
At_F0035	AT5G47300.1	417	FBA_1|1e-51|237-400
At_F0036	AT3G22710.1	327	F-box|8.6e-11|1-47
At_F0036	AT3G22710.1	327	AO_FBX|3.4e-12|2-48
At_F0036	AT3G22710.1	327	FBA_1|2.6e-37|148-312
At_F0037	AT2G22030.1	384	AO_FBX|8.3e-10|24-71
At_F0037	AT2G22030.1	384	ThiF|0.27|25-67
At_F0037	AT2G22030.1	384	F-box|1.8e-08|26-65
At_F0037	AT2G22030.1	384	Kelch_2|0.24|122-149
At_F0037	AT2G22030.1	384	Kelch_1|2.9e-10|164-204
At_F0037	AT2G22030.1	384	Kelch_1|0.81|286-301
At_F0038	AT2G34280.1	392	AO_FBX|8.8e-11|2-44
At_F0038	AT2G34280.1	392	F-box|2.6e-10|3-36
At_F0038	AT2G34280.1	392	FBA_1|6.3e-10|235-330
At_F0039	AT3G07870.1	418	AO_FBX|6.1e-11|26-63
At_F0039	AT3G07870.1	418	F-box|2.8e-10|26-60
At_F0039	AT3G07870.1	418	FBA_3|1e-06|243-335
At_F0040	AT4G29370.1	379	AO_FBX|3.4e-11|19-69
At_F0040	AT4G29370.1	379	F-box|2.6e-09|25-66
At_F0040	AT4G29370.1	379	Kelch_6|0.6|116-159
At_F0040	AT4G29370.1	379	Kelch_1|1.7e-12|162-202
At_F0041	AT3G21120.1	368	AO_FBX|2.6e-12|2-44
At_F0041	AT3G21120.1	368	F-box|2.8e-08|2-36
At_F0041	AT3G21120.1	368	FBA_1|9.8e-29|201-359
At_F0042	AT1G15015.1	161	AO_FBX|2e-11|5-46
At_F0042	AT1G15015.1	161	F-box|6.2e-10|5-44
At_F0042	AT1G15015.1	161	Oscp1|0.18|73-125
At_F0043	AT3G17540.1	397	AO_FBX|3.9e-13|6-50
At_F0043	AT3G17540.1	397	F-box-like|2.2e-08|7-45
At_F0043	AT3G17540.1	397	FBA_1|7.9e-47|206-371
At_F0044	AT2G22050.1	260	AO_FBX|1.8e-09|27-76
At_F0044	AT2G22050.1	260	F-box|3.9e-10|30-72
At_F0044	AT2G22050.1	260	Kelch_6|3.9e-05|137-176
At_F0044	AT2G22050.1	260	Kelch_1|1.4e-06|180-213
At_F0045	AT1G50880.1	280	AO_FBX|2.7e-13|20-63
At_F0045	AT1G50880.1	280	F-box|9.1e-09|21-61
At_F0045	AT1G50880.1	280	FBA_3|4.9e-07|144-171
At_F0045	AT1G50880.1	280	FBA_3|6.4e-05|176-229
At_F0046	AT5G36730.1	411	AO_FBX|4.3e-11|3-45
At_F0046	AT5G36730.1	411	F-box|2.5e-10|3-45
At_F0046	AT5G36730.1	411	FBA_1|1.1e-57|211-381
At_F0047	AT5G36820.1	411	AO_FBX|4.3e-11|3-45
At_F0047	AT5G36820.1	411	F-box|2.5e-10|3-45
At_F0047	AT5G36820.1	411	FBA_1|1.1e-57|211-381
At_F0048	AT2G07140.1	443	F-box|2.6e-11|1-46
At_F0048	AT2G07140.1	443	AO_FBX|1.4e-12|2-47
At_F0048	AT2G07140.1	443	FBA_1|8.8e-42|203-369
At_F0049	AT1G47730.1	392	AO_FBX|5.3e-14|20-65
At_F0049	AT1G47730.1	392	F-box|6.1e-09|22-61
At_F0049	AT1G47730.1	392	FBA_3|9.9e-34|222-341
At_F0050	AT3G56780.2	483	AO_FBX|2.1e-11|6-49
At_F0050	AT3G56780.2	483	F-box|1.7e-08|8-48
At_F0050	AT3G56780.2	483	LRR_2|0.00014|153-177
At_F0050	AT3G56780.2	483	LRR_2|2.2e-05|229-253
At_F0050	AT3G56780.2	483	FBD|1.7e-15|395-439
At_F0051	AT3G19410.1	374	F-box|2e-11|1-45
At_F0051	AT3G19410.1	374	AO_FBX|1.8e-11|2-48
At_F0051	AT3G19410.1	374	FBA_1|8.6e-44|198-359
At_F0052	AT5G02910.1	459	AO_FBX|3.4e-16|10-58
At_F0052	AT5G02910.1	459	F-box|1.7e-09|13-48
At_F0052	AT5G02910.1	459	LRR_2|0.0039|154-178
At_F0052	AT5G02910.1	459	DUF4714|0.055|337-439
At_F0053	AT1G47390.1	371	F-box|1.6e-09|6-42
At_F0053	AT1G47390.1	371	AO_FBX|1.2e-10|7-47
At_F0053	AT1G47390.1	371	TetR_C_37|0.14|28-52
At_F0053	AT1G47390.1	371	FBA_1|9.8e-37|192-354
At_F0054	AT3G17400.1	186	F-box|9.3e-09|2-47
At_F0054	AT3G17400.1	186	AO_FBX|7.3e-11|3-49
At_F0054	AT3G17400.1	186	Pox_LP_H2|0.013|26-111
At_F0055	AT3G17500.1	439	AO_FBX|6.1e-12|1-45
At_F0055	AT3G17500.1	439	F-box|1.2e-10|2-44
At_F0055	AT3G17500.1	439	FBA_1|2.5e-47|193-358
At_F0055	AT3G17500.1	439	DMA|0.1|366-384
At_F0055	AT3G17500.1	439	FBA_1|1.6e-14|372-436
At_F0056	AT4G11770.1	397	AO_FBX|2.2e-08|9-53
At_F0056	AT4G11770.1	397	F-box|1.1e-07|15-53
At_F0056	AT4G11770.1	397	Kelch_1|3.4e-10|140-184
At_F0056	AT4G11770.1	397	Kelch_1|1.5e-09|187-230
At_F0057	AT3G17320.1	410	F-box|7.8e-10|3-48
At_F0057	AT3G17320.1	410	AO_FBX|1.8e-08|3-46
At_F0057	AT3G17320.1	410	FBA_1|1.3e-56|222-405
At_F0058	AT5G22700.5	475	AO_FBX|4.6e-13|43-85
At_F0058	AT5G22700.5	475	F-box|5.8e-08|44-80
At_F0058	AT5G22700.5	475	LRR_2|4.1e-06|189-214
At_F0058	AT5G22700.5	475	FBD|1.9e-13|400-442
At_F0059	AT1G52490.1	212	F-box|3.1e-10|16-57
At_F0059	AT1G52490.1	212	AO_FBX|9.2e-11|17-57
At_F0060	AT1G54550.1	363	AO_FBX|1.2e-10|4-40
At_F0060	AT1G54550.1	363	F-box|7.3e-10|5-44
At_F0060	AT1G54550.1	363	FBA_1|1.8e-31|207-356
At_F0061	AT2G38590.1	425	AO_FBX|9.2e-10|4-48
At_F0061	AT2G38590.1	425	F-box|4.8e-09|5-49
At_F0061	AT2G38590.1	425	FBA_1|3.2e-54|219-384
At_F0062	AT3G10430.1	371	AO_FBX|6.3e-09|3-47
At_F0062	AT3G10430.1	371	F-box|1.1e-08|3-41
At_F0062	AT3G10430.1	371	FBA_1|1.5e-29|197-364
At_F0064	AT3G23880.1	365	F-box|3.4e-09|9-47
At_F0064	AT3G23880.1	365	AO_FBX|1.7e-11|13-48
At_F0064	AT3G23880.1	365	Calreticulin|0.078|120-220
At_F0064	AT3G23880.1	365	FBA_3|1.2e-05|215-297
At_F0065	AT5G56420.2	423	AO_FBX|2.2e-11|5-49
At_F0065	AT5G56420.2	423	F-box|1.3e-08|7-43
At_F0065	AT5G56420.2	423	LRR_2|4.1e-07|155-179
At_F0065	AT5G56420.2	423	FBD|1.2e-13|349-389
At_F0066	AT1G47790.1	390	AO_FBX|3.9e-13|23-65
At_F0066	AT1G47790.1	390	F-box|2e-08|23-63
At_F0066	AT1G47790.1	390	FBA_3|1.9e-37|216-339
At_F0067	AT2G33705.1	70	F-box|9.5e-07|17-47
At_F0067	AT2G33705.1	70	AO_FBX|2e-11|18-60
At_F0068	AT5G43190.1	404	AO_FBX|4.1e-09|47-93
At_F0068	AT5G43190.1	404	F-box|9.1e-11|48-87
At_F0068	AT5G43190.1	404	Kelch_2|0.00017|291-325
At_F0069	AT3G22730.1	373	AO_FBX|2.1e-11|2-46
At_F0069	AT3G22730.1	373	F-box|3.5e-09|3-45
At_F0069	AT3G22730.1	373	FBA_1|1.6e-47|199-359
At_F0070	AT5G48980.1	400	AO_FBX|2.8e-08|33-77
At_F0070	AT5G48980.1	400	F-box|9.8e-09|34-75
At_F0070	AT5G48980.1	400	DUF5311|0.36|110-157
At_F0070	AT5G48980.1	400	Kelch_1|0.099|173-188
At_F0070	AT5G48980.1	400	Kelch_1|4.9e-05|204-230
At_F0071	AT1G61540.1	403	F-box|2.6e-07|26-69
At_F0071	AT1G61540.1	403	AO_FBX|3.1e-07|26-72
At_F0071	AT1G61540.1	403	Kelch_1|1.2e-07|127-176
At_F0071	AT1G61540.1	403	Kelch_1|1.7e-09|180-218
At_F0071	AT1G61540.1	403	TRAM_2|0.67|187-211
At_F0071	AT1G61540.1	403	Kelch_2|0.03|235-269
At_F0072	AT3G49510.1	389	AO_FBX|2.9e-10|2-40
At_F0072	AT3G49510.1	389	F-box|6.3e-10|3-44
At_F0072	AT3G49510.1	389	FBA_1|3.3e-54|202-382
At_F0073	AT3G16580.1	383	F-box|9.9e-09|13-49
At_F0073	AT3G16580.1	383	AO_FBX|7.2e-12|14-56
At_F0073	AT3G16580.1	383	FBA_1|7.9e-34|200-365
At_F0074	AT3G49980.2	384	F-box|5.2e-09|4-46
At_F0074	AT3G49980.2	384	AO_FBX|5.2e-12|5-47
At_F0074	AT3G49980.2	384	FBA_1|4.6e-42|205-367
At_F0075	AT1G50980.1	371	AO_FBX|3.2e-13|32-74
At_F0075	AT1G50980.1	371	F-box|8.7e-10|33-78
At_F0075	AT1G50980.1	371	SH3_12|0.068|181-214
At_F0075	AT1G50980.1	371	FBD|4.8e-13|297-341
At_F0076	AT2G02250.1	311	AO_FBX|3.1e-10|44-92
At_F0076	AT2G02250.1	311	F-box|2.4e-08|46-90
At_F0076	AT2G02250.1	311	PP2|9e-50|137-303
At_F0077	AT5G22610.2	503	AO_FBX|4.6e-11|17-59
At_F0077	AT5G22610.2	503	F-box|3.3e-08|19-54
At_F0077	AT5G22610.2	503	LRR_2|3e-07|172-196
At_F0077	AT5G22610.2	503	FBD|1.5e-13|389-433
At_F0078	AT3G47150.1	361	AO_FBX|9.1e-11|12-53
At_F0078	AT3G47150.1	361	F-box|1.8e-07|13-50
At_F0078	AT3G47150.1	361	FBA_3|2.8e-25|201-315
At_F0079	AT1G77880.1	131	AO_FBX|2.3e-09|20-66
At_F0079	AT1G77880.1	131	F-box|4.6e-07|22-62
At_F0079	AT1G77880.1	131	cIII|0.079|40-55
At_F0080	AT5G62510.1	421	AO_FBX|7.1e-13|43-85
At_F0080	AT5G62510.1	421	F-box|5.9e-08|43-77
At_F0080	AT5G62510.1	421	FBA_3|8.1e-31|247-372
At_F0081	AT2G04230.1	449	AO_FBX|2.7e-14|8-59
At_F0081	AT2G04230.1	449	F-box|1.1e-08|14-53
At_F0081	AT2G04230.1	449	LRR_2|5.5e-07|168-193
At_F0081	AT2G04230.1	449	FBD|2.2e-16|363-408
At_F0082	AT3G13820.1	416	AO_FBX|1.6e-09|2-39
At_F0082	AT3G13820.1	416	F-box|4e-09|3-40
At_F0082	AT3G13820.1	416	FBA_1|9.2e-59|195-380
At_F0082	AT3G13820.1	416	CENP-B_dimeris|0.92|209-230
At_F0083	AT4G10190.1	368	AO_FBX|1.3e-10|6-50
At_F0083	AT4G10190.1	368	F-box|3.6e-09|6-45
At_F0083	AT4G10190.1	368	FBA_1|9.1e-34|203-362
At_F0084	AT3G44130.1	314	AO_FBX|2.9e-10|5-43
At_F0084	AT3G44130.1	314	F-box|1.5e-09|5-46
At_F0084	AT3G44130.1	314	FBA_1|6.1e-17|197-270
At_F0085	AT2G02030.1	335	AO_FBX|1.2e-10|39-80
At_F0085	AT2G02030.1	335	F-box|8e-08|39-78
At_F0085	AT2G02030.1	335	FBA_1|0.0056|261-312
At_F0086	AT3G16740.1	392	AO_FBX|4e-10|3-49
At_F0086	AT3G16740.1	392	F-box|3.6e-08|4-48
At_F0086	AT3G16740.1	392	FBA_1|3.6e-59|209-387
At_F0087	AT3G24700.2	271	AO_FBX|3.1e-11|3-45
At_F0087	AT3G24700.2	271	F-box|5.3e-08|3-45
At_F0088	AT4G39290.1	366	AO_FBX|3.4e-08|9-52
At_F0088	AT4G39290.1	366	F-box|7.6e-08|11-49
At_F0088	AT4G39290.1	366	cIII|0.11|32-50
At_F0088	AT4G39290.1	366	Kelch_1|3.1e-14|109-152
At_F0088	AT4G39290.1	366	Kelch_1|8.5e-13|159-196
At_F0089	AT1G62270.1	384	AO_FBX|2.3e-11|7-52
At_F0089	AT1G62270.1	384	F-box|6.9e-09|8-48
At_F0089	AT1G62270.1	384	FBA_1|9.6e-52|205-379
At_F0090	AT3G17480.1	375	AO_FBX|9.8e-14|5-53
At_F0090	AT3G17480.1	375	F-box|1.4e-09|8-52
At_F0090	AT3G17480.1	375	FBA_1|8.1e-48|206-370
At_F0091	AT3G23260.1	363	AO_FBX|8.7e-11|2-47
At_F0091	AT3G23260.1	363	F-box|3.7e-08|2-39
At_F0091	AT3G23260.1	363	FBA_1|9.8e-34|200-357
At_F0092	AT4G05490.1	308	AO_FBX|5.8e-11|25-73
At_F0092	AT4G05490.1	308	F-box-like|2.8e-10|27-73
At_F0092	AT4G05490.1	308	LRR_4|0.61|125-160
At_F0092	AT4G05490.1	308	LRR_4|0.055|203-246
At_F0093	AT1G65990.1	554	Redoxin|1.7e-21|6-141
At_F0093	AT1G65990.1	554	AO_FBX|8.2e-11|157-202
At_F0093	AT1G65990.1	554	F-box|1.5e-08|158-200
At_F0093	AT1G65990.1	554	FBA_1|7.7e-50|366-532
At_F0093	AT1G65990.1	554	DUF5420|0.017|412-503
At_F0094	AT5G38386.2	404	AO_FBX|6.3e-12|2-49
At_F0094	AT5G38386.2	404	F-box|4.5e-08|3-39
At_F0094	AT5G38386.2	404	FBD|0.0081|331-363
At_F0095	AT2G02340.1	306	F-box|1.3e-07|36-80
At_F0095	AT2G02340.1	306	AO_FBX|1.3e-06|36-79
At_F0095	AT2G02340.1	306	PP2|5.7e-51|128-301
At_F0096	AT5G44220.1	296	AO_FBX|1.8e-10|60-103
At_F0096	AT5G44220.1	296	F-box|4.8e-08|61-102
At_F0097	AT1G80960.4	487	AO_FBX|5.7e-13|50-90
At_F0097	AT1G80960.4	487	F-box|2.8e-07|51-87
At_F0097	AT1G80960.4	487	FBD|0.48|424-454
At_F0098	AT1G67450.1	399	AO_FBX|4.8e-12|4-43
At_F0098	AT1G67450.1	399	F-box|9e-10|5-41
At_F0098	AT1G67450.1	399	ATP_synth_reg|0.22|48-65
At_F0098	AT1G67450.1	399	FBA_1|1.4e-47|192-352
At_F0099	AT5G02980.1	336	AO_FBX|3.4e-08|9-59
At_F0099	AT5G02980.1	336	F-box|6.2e-08|13-58
At_F0099	AT5G02980.1	336	Kelch_1|6.1e-05|108-148
At_F0099	AT5G02980.1	336	Kelch_1|5.8e-06|150-183
At_F0100	AT5G51250.1	369	AO_FBX|4.8e-10|1-46
At_F0100	AT5G51250.1	369	F-box|2.2e-07|2-42
At_F0100	AT5G51250.1	369	Kelch_1|1.3e-05|108-150
At_F0100	AT5G51250.1	369	Kelch_2|6.9e-06|153-199
At_F0101	AT1G33530.1	442	AO_FBX|1.1e-09|96-139
At_F0101	AT1G33530.1	442	F-box|3.6e-09|96-137
At_F0102	AT5G49610.1	360	AO_FBX|1e-10|10-49
At_F0102	AT5G49610.1	360	F-box|1.8e-08|10-44
At_F0103	AT1G13200.1	436	F-box|6.3e-08|40-79
At_F0103	AT1G13200.1	436	AO_FBX|6.4e-11|41-85
At_F0103	AT1G13200.1	436	Kelch_1|0.43|237-254
At_F0103	AT1G13200.1	436	FBA_1|9.1e-07|269-365
At_F0104	AT4G22170.1	364	AO_FBX|8e-12|8-49
At_F0104	AT4G22170.1	364	F-box|1e-08|9-51
At_F0104	AT4G22170.1	364	RE_SinI|0.015|175-215
At_F0104	AT4G22170.1	364	DUF295|1.1e-07|280-332
At_F0105	AT1G47915.1	74	AO_FBX|1.3e-13|7-53
At_F0105	AT1G47915.1	74	F-box|4.5e-08|9-45
At_F0106	AT2G19630.1	298	F-box|8.7e-08|15-56
At_F0106	AT2G19630.1	298	AO_FBX|1.4e-10|16-58
At_F0106	AT2G19630.1	298	FBA_3|1.7e-33|132-255
At_F0107	AT4G39756.1	375	AO_FBX|8e-08|16-58
At_F0107	AT4G39756.1	375	F-box|6.4e-08|18-63
At_F0107	AT4G39756.1	375	Kelch_1|1.9e-10|170-212
At_F0107	AT4G39756.1	375	Kelch_1|0.76|242-256
At_F0108	AT5G52880.1	270	Propeptide_C25|0.12|73-115
At_F0108	AT5G52880.1	270	F-box-like|1e-12|112-154
At_F0108	AT5G52880.1	270	AO_FBX|2e-09|112-156
At_F0109	AT3G17710.1	369	AO_FBX|4.5e-13|6-47
At_F0109	AT3G17710.1	369	F-box|5.3e-09|6-46
At_F0109	AT3G17710.1	369	UPF0160|0.28|42-112
At_F0109	AT3G17710.1	369	FBA_1|6.3e-41|198-356
At_F0110	AT3G21410.1	411	AO_FBX|5e-11|35-79
At_F0110	AT3G21410.1	411	F-box|3.7e-09|35-75
At_F0110	AT3G21410.1	411	FBA_1|5.2e-41|227-397
At_F0110	AT3G21410.1	411	BNR_4|0.26|263-376
At_F0111	AT3G16880.1	366	F-box|6e-09|3-46
At_F0111	AT3G16880.1	366	AO_FBX|2e-08|3-46
At_F0111	AT3G16880.1	366	FBA_1|2.4e-54|200-352
At_F0112	AT1G66490.1	361	AO_FBX|8.1e-10|2-40
At_F0112	AT1G66490.1	361	F-box|4.2e-10|3-42
At_F0112	AT1G66490.1	361	FBA_1|1.3e-50|178-356
